cust_code,customer_name,item_code,item_description,invoice_date,invoice_no,quantity,price,amount,cost,profit,margin,source_file
AXIELR,Axiel Foods - Retail Web,10805,Haddock Atl.(Fillet Net) ON,2026-03-14,0996944,2,16.74,33.48,16.34,17.14,51.19,DSCI.txt
AXIELR,Axiel Foods - Retail Web,10805,Haddock Atl.(Fillet Net) ON,2026-03-14,0996944,3,7.44,22.32,24.51,-2.19,-9.83,DSCI.txt
7ENOTE,7 Enoteca,10830,"Halibut Wild (H&G, Atlantic)",2026-03-10,0996266,23.4,22.5,526.50,397.19,129.31,24.56,DSCI.txt
7ENOTE,7 Enoteca,10830,"Halibut Wild (H&G, Atlantic)",2026-03-12,0996571,22,22.5,495.00,361.28,133.72,27.01,DSCI.txt
7ENOTE,7 Enoteca,10830,"Halibut Wild (H&G, Atlantic)",2026-03-13,0996680,21.3,22.5,479.25,349.79,129.46,27.01,DSCI.txt
7ENOTE,7 Enoteca,10830,"Halibut Wild (H&G, Atlantic)",2026-03-14,0996859,15,22.5,337.50,246.33,91.17,27.01,DSCI.txt
ANDORE,And/Ore,10830,"Halibut Wild (H&G, Atlantic)",2026-03-10,0996277,57.9,22.95,1328.81,982.78,346.03,26.04,DSCI.txt
AXIELR,Axiel Foods - Retail Web,10830,"Halibut Wild (H&G, Atlantic)",2026-03-14,0996944,2.85714285,19.53,55.80,46.92,8.88,15.91,DSCI.txt
AXIELR,Axiel Foods - Retail Web,10830,"Halibut Wild (H&G, Atlantic)",2026-03-14,0996944,4.28571428,22.01,94.34,70.38,23.96,25.40,DSCI.txt
BYMARK,Bymark 20004995 Ont. Ltd,10830,"Halibut Wild (H&G, Atlantic)",2026-03-16,0996988,29.5,22.5,663.75,484.45,179.30,27.01,DSCI.txt
CANOE,1109466 Ontario Ltd. O/A Canoe,10830,"Halibut Wild (H&G, Atlantic)",2026-03-09,0996143,43.2,22.5,972.00,733.27,238.73,24.56,DSCI.txt
CANOE,1109466 Ontario Ltd. O/A Canoe,10830,"Halibut Wild (H&G, Atlantic)",2026-03-12,0996616,54.2,22.5,1219.50,890.07,329.43,27.01,DSCI.txt
CANOE,1109466 Ontario Ltd. O/A Canoe,10830,"Halibut Wild (H&G, Atlantic)",2026-03-16,0996995,40.4,22.5,909.00,663.44,245.56,27.01,DSCI.txt
HOLCAF,Holts Cafe-Bloor,10830,"Halibut Wild (H&G, Atlantic)",2026-03-12,0996550,12.1,22.5,272.25,198.70,73.55,27.01,DSCI.txt
HOLCAF,Holts Cafe-Bloor,10830,"Halibut Wild (H&G, Atlantic)",2026-03-16,0997018,11.3,22.5,254.25,185.57,68.68,27.01,DSCI.txt
